name,pop_2019
Gyeonggi-do,13653984
Seoul,10010983
Busan,3459840
Gyeongsangnam-do,3438676
Incheon,3029285
Gyeongsangbuk-do,2723955
Daegu,2468222
Chungcheongnam-do,2194384
Jeollanam-do,1903383
Jeollabuk-do,1851991
Chungcheongbuk-do,1640721
Gangwon-do,1560571
Daejeon,1493979
Gwangju,1480293
Ulsan,1168469
Jeju-do,696657
Sejongsi,346275
